tenpai,real,agari,score,tenpai,real,agari,score,tenpai,real,agari,score,tenpai,real,agari,score
15.000000,0.125000,0.078000,118700,20.000000,0.161000,0.092500,115100,20.000000,0.140500,0.075000,-101400,20.000000,0.149000,0.066500,-132400
10.000000,0.098000,0.076000,347350,20.000000,0.152000,0.092000,251450,20.000000,0.132500,0.067000,-252650,20.000000,0.136000,0.064500,-346150
10.000000,0.104500,0.070500,268400,15.000000,0.126000,0.089000,92200,15.000000,0.124000,0.068500,-170000,15.000000,0.115000,0.070500,-190600
25.000000,0.178000,0.082000,227500,25.000000,0.201000,0.104000,188400,25.000000,0.175500,0.069000,-257600,25.000000,0.174000,0.085000,-158300
20.000000,0.151000,0.089000,477250,25.000000,0.180500,0.090000,-14050,25.000000,0.160000,0.075500,-259150,25.000000,0.163500,0.073500,-204050
15.000000,0.132000,0.078000,134250,25.000000,0.181500,0.110000,307750,25.000000,0.150000,0.081000,-241350,25.000000,0.172000,0.081500,-200650
10.000000,0.096000,0.087500,479400,25.000000,0.187500,0.095000,-22200,25.000000,0.162500,0.081000,-164500,25.000000,0.172000,0.062000,-292700
25.000000,0.190000,0.077000,142300,30.000000,0.232000,0.101500,94500,30.000000,0.189500,0.090500,-46700,30.000000,0.208000,0.089000,-190100
20.000000,0.148500,0.072500,25850,30.000000,0.206000,0.108500,269450,30.000000,0.202500,0.096000,-69350,30.000000,0.206000,0.075500,-225950
15.000000,0.135000,0.070500,197000,30.000000,0.209500,0.095000,97300,30.000000,0.198000,0.083500,-61200,30.000000,0.227500,0.085500,-233100
10.000000,0.083500,0.072000,151350,30.000000,0.216500,0.105500,130550,30.000000,0.200500,0.082000,-191750,30.000000,0.210000,0.087000,-90150
30.000000,0.225000,0.097000,549300,35.000000,0.246500,0.103000,-112500,35.000000,0.214000,0.079000,-150400,35.000000,0.224000,0.084500,-286400
25.000000,0.173500,0.081000,160850,35.000000,0.240500,0.106000,114150,35.000000,0.220000,0.097500,-101050,35.000000,0.226500,0.091000,-173950
20.000000,0.144000,0.081000,362500,35.000000,0.238000,0.114000,48800,35.000000,0.227000,0.102000,-35200,35.000000,0.228500,0.085500,-376100
15.000000,0.117500,0.077000,321500,35.000000,0.260000,0.118000,28300,35.000000,0.244500,0.095000,-222600,35.000000,0.232000,0.093500,-127200
10.000000,0.096000,0.074000,236350,35.000000,0.239000,0.101500,-19650,35.000000,0.225000,0.102000,-62950,35.000000,0.226500,0.091000,-153750
