tenpai,real,agari,score,tenpai,real,agari,score,tenpai,real,agari,score,tenpai,real,agari,score
30.000000,0.206000,0.111000,605600,25.000000,0.195500,0.094000,12100,30.000000,0.211500,0.088500,-312800,30.000000,0.200500,0.085000,-304900
30.000000,0.204500,0.099500,385500,30.000000,0.222000,0.115500,226700,25.000000,0.154000,0.078000,-329300,30.000000,0.199500,0.087000,-282900
30.000000,0.190000,0.102000,215200,35.000000,0.246000,0.128000,377900,30.000000,0.202000,0.083000,-224200,30.000000,0.214000,0.074500,-368900
30.000000,0.216000,0.109500,516500,30.000000,0.213000,0.086500,-263900,35.000000,0.237000,0.100000,-191000,30.000000,0.215500,0.092000,-61600
25.000000,0.193500,0.078000,135250,25.000000,0.189500,0.092500,138650,20.000000,0.156500,0.084500,-201250,25.000000,0.174000,0.076000,-72650
25.000000,0.184500,0.090000,510500,30.000000,0.220500,0.101500,-34900,25.000000,0.171500,0.079500,-182700,25.000000,0.175000,0.071000,-292900
25.000000,0.184500,0.096500,564250,25.000000,0.196500,0.101000,28350,30.000000,0.194000,0.081000,-211850,25.000000,0.178500,0.075000,-380750
25.000000,0.189500,0.084000,185200,35.000000,0.270500,0.118000,311000,25.000000,0.170000,0.067000,-302400,25.000000,0.183500,0.080500,-193800
25.000000,0.188500,0.093500,259750,25.000000,0.196500,0.094500,6850,35.000000,0.244000,0.099500,78850,25.000000,0.171500,0.067500,-345450
20.000000,0.153500,0.085500,391400,20.000000,0.156000,0.090500,28300,15.000000,0.123500,0.069000,-73500,20.000000,0.142500,0.062500,-346200
20.000000,0.156500,0.082000,274900,25.000000,0.177500,0.088000,69000,20.000000,0.142000,0.067000,-295500,20.000000,0.148000,0.078000,-48400
20.000000,0.158000,0.080000,275450,20.000000,0.162000,0.086500,23050,25.000000,0.171500,0.081000,-122050,20.000000,0.157000,0.077000,-176450
20.000000,0.133500,0.097000,607400,30.000000,0.207000,0.100500,-69400,20.000000,0.142000,0.076500,-134900,20.000000,0.141500,0.069000,-403100
20.000000,0.163000,0.082500,230200,20.000000,0.165000,0.095000,241800,30.000000,0.199500,0.079500,-213700,20.000000,0.162000,0.069000,-258300
20.000000,0.155500,0.081500,263000,35.000000,0.262500,0.112500,178100,20.000000,0.150500,0.075000,-181300,20.000000,0.148500,0.073000,-259800
20.000000,0.156000,0.086000,263450,20.000000,0.168500,0.101000,253250,35.000000,0.210500,0.091000,-193250,20.000000,0.147500,0.063500,-323450
15.000000,0.127000,0.076000,186800,15.000000,0.143500,0.075500,-13200,10.000000,0.075500,0.071500,-7700,15.000000,0.119000,0.064000,-165900
15.000000,0.129500,0.076000,419950,20.000000,0.173500,0.085500,-44850,15.000000,0.120000,0.074500,-27950,15.000000,0.118000,0.068000,-347150
15.000000,0.134000,0.077500,227950,15.000000,0.127000,0.080000,196250,20.000000,0.143500,0.070500,-135250,15.000000,0.122000,0.058500,-288950
15.000000,0.116000,0.078000,235500,25.000000,0.189500,0.102000,300700,15.000000,0.123000,0.065000,-209500,15.000000,0.119500,0.060500,-326700
15.000000,0.127500,0.075500,232600,15.000000,0.134500,0.074500,112300,25.000000,0.196500,0.079000,-75800,15.000000,0.128000,0.067500,-269100
15.000000,0.128500,0.080500,201150,30.000000,0.216500,0.111000,57650,15.000000,0.119000,0.069000,-116150,15.000000,0.120000,0.063000,-142650
15.000000,0.122000,0.074000,341350,15.000000,0.121500,0.076500,101450,30.000000,0.207500,0.087500,-221650,15.000000,0.119500,0.063000,-221150
15.000000,0.130500,0.084500,343450,35.000000,0.245000,0.104000,-52950,15.000000,0.129500,0.072000,-124450,15.000000,0.115500,0.064000,-166050
15.000000,0.133500,0.077000,218900,15.000000,0.127000,0.080500,178200,35.000000,0.215000,0.094000,-48700,15.000000,0.127500,0.061000,-348400
10.000000,0.085500,0.075500,68800,15.000000,0.110000,0.084500,146400,10.000000,0.084500,0.069000,23800,10.000000,0.086000,0.062000,-239000
10.000000,0.086000,0.080000,305750,10.000000,0.073000,0.079500,-17750,15.000000,0.114000,0.072000,-34150,10.000000,0.080000,0.059000,-253850
10.000000,0.097000,0.082500,373300,20.000000,0.172500,0.085000,178700,10.000000,0.083500,0.060500,-244600,10.000000,0.090000,0.063500,-307400
10.000000,0.099500,0.089000,576050,10.000000,0.082500,0.070000,-44550,20.000000,0.138000,0.068500,-262250,10.000000,0.091000,0.060000,-269250
10.000000,0.094000,0.072000,237300,25.000000,0.184500,0.099500,240000,10.000000,0.093500,0.060500,-225900,10.000000,0.084000,0.058500,-251400
10.000000,0.095500,0.072500,195950,10.000000,0.100500,0.076000,23950,25.000000,0.175000,0.082000,-9650,10.000000,0.086000,0.063000,-210250
10.000000,0.096000,0.084500,390550,30.000000,0.217000,0.110500,115750,10.000000,0.083500,0.059000,-311450,10.000000,0.090500,0.059500,-194850
10.000000,0.082000,0.080500,347150,10.000000,0.082500,0.079000,79950,30.000000,0.184500,0.081500,-74250,10.000000,0.080500,0.059500,-352850
10.000000,0.098500,0.081000,248050,35.000000,0.256000,0.107500,144650,10.000000,0.088000,0.065500,-135150,10.000000,0.080500,0.060000,-257550
10.000000,0.082000,0.083500,531200,10.000000,0.085000,0.077500,-34500,35.000000,0.224000,0.092000,-147100,10.000000,0.088000,0.058500,-349600
