tenpai,real,agari,score,tenpai,real,agari,score,tenpai,real,agari,score,tenpai,real,agari,score
35.000000,0.233000,0.086500,229600,35.000000,0.233500,0.107500,95100,35.000000,0.231000,0.086000,-182300,35.000000,0.218500,0.089500,-142400
30.000000,0.206500,0.086500,77000,30.000000,0.208000,0.102500,170700,30.000000,0.181500,0.078000,-231500,30.000000,0.203500,0.086000,-16200
30.000000,0.212000,0.078000,152100,35.000000,0.238500,0.111000,188000,30.000000,0.194500,0.081500,-251300,35.000000,0.217500,0.083500,-88800
35.000000,0.241000,0.087500,61200,30.000000,0.208500,0.093500,15700,35.000000,0.228000,0.102000,29300,30.000000,0.213500,0.087500,-106200
25.000000,0.183500,0.082000,103200,25.000000,0.182500,0.094500,77600,25.000000,0.177500,0.077000,-87800,25.000000,0.173000,0.079000,-93000
25.000000,0.174500,0.074500,123650,30.000000,0.215500,0.103500,156850,25.000000,0.178000,0.079500,-65750,30.000000,0.203500,0.076000,-214750
30.000000,0.204500,0.091500,387100,25.000000,0.169000,0.084000,-12500,30.000000,0.191000,0.088000,-168800,25.000000,0.174500,0.079500,-205800
25.000000,0.188000,0.083500,392800,35.000000,0.246500,0.107500,55500,25.000000,0.183500,0.082000,-187900,35.000000,0.227000,0.091000,-260400
35.000000,0.228500,0.080000,-42300,25.000000,0.169500,0.086000,123200,35.000000,0.239500,0.097000,85400,25.000000,0.169000,0.076500,-166300
20.000000,0.150000,0.075500,127400,20.000000,0.160500,0.096000,278800,20.000000,0.152500,0.068000,-103500,20.000000,0.136500,0.066500,-302700
20.000000,0.160000,0.076000,332900,25.000000,0.190500,0.078500,13800,20.000000,0.165000,0.065500,-247400,25.000000,0.178000,0.075000,-99300
25.000000,0.176500,0.083500,398800,20.000000,0.164000,0.093500,38400,25.000000,0.163500,0.070500,-230300,20.000000,0.148000,0.067500,-206900
20.000000,0.159500,0.092000,646100,30.000000,0.206500,0.096000,-153400,20.000000,0.155000,0.069500,-212800,30.000000,0.214000,0.078500,-279900
30.000000,0.196500,0.080500,149350,20.000000,0.144500,0.082500,269150,30.000000,0.197000,0.084500,-105150,20.000000,0.136500,0.067000,-313350
20.000000,0.145000,0.065500,50250,35.000000,0.256500,0.120500,185850,20.000000,0.161500,0.079000,-174150,35.000000,0.228500,0.091000,-61950
35.000000,0.254000,0.093000,260800,20.000000,0.165500,0.082000,129200,35.000000,0.233500,0.087000,-74800,20.000000,0.152500,0.069000,-315200
15.000000,0.134000,0.069500,286250,15.000000,0.121000,0.079000,202050,15.000000,0.101500,0.054000,-292750,15.000000,0.105000,0.058500,-195550
15.000000,0.136500,0.085000,447000,20.000000,0.144000,0.091500,66400,15.000000,0.109000,0.063500,-231500,20.000000,0.140000,0.068000,-281900
20.000000,0.150500,0.076000,243650,15.000000,0.127000,0.084000,199750,20.000000,0.131500,0.066500,-255850,15.000000,0.117000,0.054000,-187550
15.000000,0.122000,0.073500,113050,25.000000,0.191500,0.095500,231450,15.000000,0.123000,0.063500,-88350,25.000000,0.162500,0.067500,-256150
25.000000,0.184000,0.095000,643250,15.000000,0.118500,0.078500,-80350,25.000000,0.171000,0.074000,-280050,15.000000,0.116000,0.064000,-282850
15.000000,0.120000,0.067000,65400,30.000000,0.222500,0.110500,472800,15.000000,0.123500,0.069000,-182000,30.000000,0.195000,0.075000,-356200
30.000000,0.210500,0.085000,18550,15.000000,0.121000,0.085000,208450,30.000000,0.196000,0.100500,142150,15.000000,0.107000,0.057500,-369150
15.000000,0.128000,0.074500,328850,35.000000,0.240500,0.100500,-150,15.000000,0.120500,0.063500,-229750,35.000000,0.235000,0.097500,-98950
35.000000,0.236000,0.092500,431800,15.000000,0.121000,0.075500,101800,35.000000,0.194500,0.077500,-197800,15.000000,0.119000,0.056000,-335800
10.000000,0.101000,0.069500,222250,15.000000,0.117500,0.080500,144650,10.000000,0.097500,0.066000,-98450,15.000000,0.114000,0.054500,-268450
15.000000,0.116000,0.071000,184100,10.000000,0.083500,0.073500,-79500,15.000000,0.110500,0.064000,-25500,10.000000,0.068500,0.065000,-79100
10.000000,0.104500,0.076500,391400,20.000000,0.149500,0.086500,174000,10.000000,0.085000,0.048000,-344200,20.000000,0.148500,0.059500,-221200
20.000000,0.137500,0.076500,213050,10.000000,0.086000,0.079000,175350,20.000000,0.137500,0.081000,-17150,10.000000,0.079000,0.056000,-371250
10.000000,0.099000,0.063000,40100,25.000000,0.188000,0.100500,362400,10.000000,0.075000,0.060000,-241800,25.000000,0.152500,0.082000,-160700
25.000000,0.190000,0.091000,307300,10.000000,0.083000,0.079000,146700,25.000000,0.159000,0.076500,-139100,10.000000,0.073500,0.054500,-314900
10.000000,0.106000,0.066500,48800,30.000000,0.209000,0.101000,345200,10.000000,0.083000,0.069500,-215800,30.000000,0.208500,0.083000,-178200
30.000000,0.189500,0.093000,111600,10.000000,0.095000,0.089000,345900,30.000000,0.186500,0.082000,-234700,10.000000,0.082500,0.058000,-222800
10.000000,0.101500,0.073000,230450,35.000000,0.241500,0.112500,189050,10.000000,0.073000,0.062000,-246450,35.000000,0.218500,0.085000,-173050
35.000000,0.241500,0.099000,536700,10.000000,0.091500,0.067500,-127700,35.000000,0.204500,0.088000,-101100,10.000000,0.081500,0.057000,-307900
